"","EB","n","type","N","mean.utilization","sd","se","ci"
"126","2",42,"Negexp",10,0.329957997619048,0.00475986297084174,0.00150520083381555,0.00340500084766569
"127","2",44,"Empiric",10,0.312112531818182,0.00861020254472182,0.00272278511566988,0.00615936785217295
"128","2",44,"Gamma",10,0.318554425,0.00959687484533726,0.00303479829308419,0.00686519069634817
"129","2",44,"Negexp",10,0.314316254545455,0.00545178827723004,0.00172400682770524,0.00389997439400642
"130","2",46,"Empiric",10,0.299025269565217,0.00925246027884104,0.00292588484413743,0.0066188113576882
"131","2",46,"Gamma",10,0.302148813043478,0.00499266228908488,0.00157881844215382,0.00357153544767618
"132","2",46,"Negexp",10,0.299159023913043,0.00467334617388653,0.00147784182039148,0.00334311045948132
"133","2",48,"Empiric",10,0.290920041666667,0.00545878756909784,0.00172622019813629,0.00390498138578096
"134","2",48,"Gamma",10,0.287522627083333,0.00558994361088408,0.00176769538022997,0.00399880476603252
"135","2",48,"Negexp",10,0.28620893125,0.00665063159414116,0.00210311437161626,0.00475757523993557
"136","2",50,"Empiric",10,0.276229212,0.00692099994361894,0.00218861235077328,0.00495098510589039
"137","2",50,"Gamma",10,0.279225276,0.00766058140099794,0.00242248854282772,0.00548004980895431
"138","2",50,"Negexp",10,0.27747745,0.00399584010807073,0.00126359559073569,0.00285845181646296
"163","3",22,"Empiric",10,0.9504317,0.0264993813224401,0.00837984015642354,0.0189565154329575
"164","3",22,"Gamma",10,0.939155345454545,0.0193191596922105,0.00610925471079027,0.0138200943033729
"165","3",22,"Negexp",10,0.934795677272727,0.0110039500116246,0.00347975452953701,0.00787175163377165
"166","3",24,"Empiric",10,0.866944083333333,0.0193591579285801,0.00612190326372204,0.0138487073179865
"167","3",24,"Gamma",10,0.869760541666667,0.0217517267193202,0.0068784999474594,0.0155602479254524
"168","3",24,"Negexp",10,0.863225075,0.0112536501368191,0.0035587166423014,0.00805037634275128
"169","3",26,"Empiric",10,0.809650842307692,0.0173508976562538,0.00548683560422393,0.0124120844631914
