"","EB","n","type","N","mean.waiting.time","sd","se","ci"
"128","3",40,"Analytic",1,0.018374165935773,NA,NA,NA
"129","3",42,"Simulation",10,0.0133133333333333,0.00233528754144631,0.000738482762238522,0.00167056407020088
"130","3",42,"Analytic",1,0.0142558330894676,NA,NA,NA
"131","3",44,"Simulation",10,0.0102333333333333,0.00260032049306747,0.000822293540450529,0.00186015722245286
"132","3",44,"Analytic",1,0.0110852828677907,NA,NA,NA
"133","3",46,"Simulation",10,0.00890499999999998,0.00328593194777864,0.0010391029191294,0.00235061411139308
"134","3",46,"Analytic",1,0.00863725681817275,NA,NA,NA
"135","3",48,"Simulation",10,0.00669333333333332,0.00224371825435773,0.000709526011146743,0.00160505934830724
"136","3",48,"Analytic",1,0.00674214992839031,NA,NA,NA
"137","3",50,"Simulation",10,0.00499833333333333,0.000945210473654552,0.000298901796499496,0.000676162839924587
"138","3",50,"Analytic",1,0.00527161720805951,NA,NA,NA
"139","4",6,"Simulation",10,8.76724666666667,0.332597360553138,0.105176520310815,0.237925818779302
"140","4",6,"Analytic",1,8.79177012804063,NA,NA,NA
"141","4",8,"Simulation",10,4.49764666666667,0.295394327034973,0.0934118881323166,0.211312371829025
"142","4",8,"Analytic",1,4.5517854917288,NA,NA,NA
"143","4",10,"Simulation",10,2.75661,0.186526637987748,0.0589849020334969,0.133433118632026
"144","4",10,"Analytic",1,2.73915685741964,NA,NA,NA
"145","4",12,"Simulation",10,1.77003166666667,0.0590536894499769,0.0186744162898183,0.042244464571088
"146","4",12,"Analytic",1,1.77896024385447,NA,NA,NA
"147","4",14,"Simulation",10,1.18689166666667,0.0609769311013863,0.019282598700754,0.0436202687682741
"148","4",14,"Analytic",1,1.20978686137549,NA,NA,NA
"149","4",16,"Simulation",10,0.829413333333333,0.0613650098354001,0.0194053199718499,0.0438978835707112
"150","4",16,"Analytic",1,0.84839799572214,NA,NA,NA
"151","4",18,"Simulation",10,0.601445,0.0666563066255773,0.0210785749351396,0.0476830492711049
"152","4",18,"Analytic",1,0.608147928202577,NA,NA,NA
"153","4",20,"Simulation",10,0.434985,0.0401300082063532,0.0126902228453324,0.0287072785070742
"154","4",20,"Analytic",1,0.443130755904124,NA,NA,NA
"155","4",22,"Simulation",10,0.33031,0.0305939800824273,0.00967466597502963,0.0218856149330934
"156","4",22,"Analytic",1,0.327008718951651,NA,NA,NA
"157","4",24,"Simulation",10,0.243563333333333,0.0218104768685733,0.00689707837591084,0.0156022752504473
"158","4",24,"Analytic",1,0.243761275408245,NA,NA,NA
"159","4",26,"Simulation",10,0.18707,0.0164409489528171,0.00519908455854621,0.0117611463741089
"160","4",26,"Analytic",1,0.183201472213047,NA,NA,NA
"161","4",28,"Simulation",10,0.139966666666667,0.0201590343684082,0.0063748464033784,0.0144209044531408
"162","4",28,"Analytic",1,0.138624117880366,NA,NA,NA
"163","4",30,"Simulation",10,0.110615,0.0159470157624676,0.00504288916920044,0.0114078078553043
"164","4",30,"Analytic",1,0.10549301385255,NA,NA,NA
"165","4",32,"Simulation",10,0.0892916666666666,0.00723984282108906,0.00228943932162603,0.0051790715602082
"166","4",32,"Analytic",1,0.0806705853812896,NA,NA,NA
"167","4",34,"Simulation",10,0.0639349999999999,0.00822176594079311,0.00259995067617033,0.00588149704502075
"168","4",34,"Analytic",1,0.0619469177878916,NA,NA,NA
"169","4",36,"Simulation",10,0.0487816666666666,0.00798016232546313,0.00252354890463294,0.00570866423028697
"170","4",36,"Analytic",1,0.0477418956380332,NA,NA,NA
"171","4",38,"Simulation",10,0.0345483333333333,0.00662475459596728,0.00209493134629251,0.00473906395058609
"172","4",38,"Analytic",1,0.0369113892950984,NA,NA,NA
"173","4",40,"Simulation",10,0.031015,0.00826265378258496,0.00261288054703742,0.00591074644501679
"174","4",40,"Analytic",1,0.0286180783589486,NA,NA,NA
"175","4",42,"Simulation",10,0.023085,0.00630031083889252,0.00199233322179465,0.0045069708683636
"176","4",42,"Analytic",1,0.0222435779770234,NA,NA,NA
"177","4",44,"Simulation",10,0.01699,0.00380030213223841,0.00120176105346678,0.00271857237507179
"178","4",44,"Analytic",1,0.0173276064718146,NA,NA,NA
"179","4",46,"Simulation",10,0.0128883333333334,0.00268299457258932,0.000848437379925222,0.00191929869618358
"180","4",46,"Analytic",1,0.0135252333000443,NA,NA,NA
"181","4",48,"Simulation",10,0.0108200000000001,0.00333171997993402,0.0010535823662482,0.00238336889640625
"182","4",48,"Analytic",1,0.0105764389610632,NA,NA,NA
"183","4",50,"Simulation",10,0.00916666666666662,0.00293620440301689,0.000928509358934835,0.00210043409703961
"184","4",50,"Analytic",1,0.0082841937724659,NA,NA,NA
"185","5",6,"Simulation",10,14.796095,1.22082142385924,0.386057631572503,0.873323036514648
"186","5",6,"Analytic",1,14.7162063261552,NA,NA,NA
"187","5",8,"Simulation",10,7.00776166666667,0.301683695657072,0.0954007611213394,0.215811515107038
"188","5",8,"Analytic",1,7.00057699355847,NA,NA,NA
"189","5",10,"Simulation",10,4.04337833333333,0.281809707384125,0.0891160542079405,0.201594520346806
"190","5",10,"Analytic",1,4.07414107865638,NA,NA,NA
"191","5",12,"Simulation",10,2.54979,0.135857104759303,0.0429617887355499,0.0971863181147476
"192","5",12,"Analytic",1,2.60233377199613,NA,NA,NA
"193","5",14,"Simulation",10,1.78710166666667,0.132521103944771,0.04190685265054,0.094799886893748
"194","5",14,"Analytic",1,1.75371163169128,NA,NA,NA
"195","5",16,"Simulation",10,1.20164166666667,0.121724002788843,0.0384925094725432,0.0870761060173913
"196","5",16,"Analytic",1,1.22357595522025,NA,NA,NA
"197","5",18,"Simulation",10,0.865926666666667,0.0504656252644645,0.0159586319380245,0.0361009335470623
"198","5",18,"Analytic",1,0.874648412889299,NA,NA,NA
"199","5",20,"Simulation",10,0.625545,0.0442261319112033,0.0139855308938458,0.0316374688870489
"200","5",20,"Analytic",1,0.63647550018039,NA,NA,NA
"201","5",22,"Simulation",10,0.4721,0.06132536532381,0.0193927832765149,0.0438695235955614
"202","5",22,"Analytic",1,0.469515064762489,NA,NA,NA
