"","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"131","2",46,"Gamma",10,7.01750666666667,0.322183545782275,0.101883382930113,0.230476224465467
"132","2",46,"Negexp",10,4.88662166666667,0.208049843127335,0.0657911371123107,0.148829892067253
"133","2",48,"Empiric",10,7.41575333333333,0.29296922844356,0.0926450046223836,0.209577560803998
"134","2",48,"Gamma",10,6.510465,0.332883578937957,0.10526703051124,0.238130567077499
"135","2",48,"Negexp",10,4.478575,0.141122975933828,0.0446270034132024,0.100953295425396
"136","2",50,"Empiric",10,6.9385,0.356566074599864,0.112756093208108,0.255072003899864
"137","2",50,"Gamma",10,5.98054,0.295948015559456,0.0935869798174832,0.211708456738771
"138","2",50,"Negexp",10,4.19002666666667,0.116453127909902,0.0368257124846213,0.0833055492722334
"163","3",22,"Empiric",10,510.030116666667,385.923613248075,122.039762070585,276.073121914163
"164","3",22,"Gamma",10,337.247903333333,115.967660394354,36.6721941767058,82.9582667323617
"165","3",22,"Negexp",10,192.814088333333,43.858934273518,13.8694128051939,31.3747915210745
"166","3",24,"Empiric",10,142.004755,22.4638364471765,7.10368881585826,16.0696605370833
"167","3",24,"Gamma",10,136.839096666667,30.9697763934421,9.79350320293919,22.1544434194161
"168","3",24,"Negexp",10,90.1342783333333,15.5087501342682,4.90429740867296,11.0942915115222
"169","3",26,"Empiric",10,96.133095,11.7402559924849,3.71259492496929,8.39847320208754
"170","3",26,"Gamma",10,83.7538033333333,12.1869961391073,3.85386656352575,8.71805185114827
"171","3",26,"Negexp",10,54.95341,6.28429073812208,1.98726722111665,4.49551077864311
"172","3",28,"Empiric",10,60.632065,7.99370040315099,2.52783002069634,5.71834878765455
"173","3",28,"Gamma",10,59.5065066666667,7.77921344924019,2.46000329042137,5.56491406393385
"174","3",28,"Negexp",10,39.9652816666667,5.20086797444029,1.64465886090577,3.72047682255752
"175","3",30,"Empiric",10,51.5792316666667,5.61896790622625,1.77687366830624,4.01956749614647
"176","3",30,"Gamma",10,46.1468533333333,6.6236474532299,2.09458123701801,4.73827194838302
"177","3",30,"Negexp",10,32.2629566666667,4.43998766669263,1.40404738098052,3.17617583979315
"178","3",32,"Empiric",10,40.174475,3.07776350437173,0.973274277315628,2.20169937779679
"179","3",32,"Gamma",10,37.2969333333333,3.83518331584178,1.21279145223369,2.74352487065089
"180","3",32,"Negexp",10,25.7549683333333,2.93253185587246,0.927347997555761,2.09780691507734
"181","3",34,"Empiric",10,33.11383,4.02937280255413,1.2741995598007,2.88243966103747
"182","3",34,"Gamma",10,30.447225,2.31104345372722,0.730816108539996,1.65322089462206
"183","3",34,"Negexp",10,20.624325,1.2188807141742,0.385443925284315,0.871934736438969
"184","3",36,"Empiric",10,28.9231866666667,2.36235013082416,0.74704070442011,1.68992348040577
"185","3",36,"Gamma",10,27.2846266666667,2.66145919556208,0.841627295757568,1.90389321550447
"186","3",36,"Negexp",10,17.188625,1.26416928277397,0.399765428158721,0.904332226748343
"187","3",38,"Empiric",10,25.322835,2.19139091211932,0.692978652609092,1.56762662266591
"188","3",38,"Gamma",10,22.649445,1.21207085734002,0.383290459470747,0.867063258323966
"189","3",38,"Negexp",10,15.8088133333333,0.884813677596435,0.279802652607463,0.632957574765911
"190","3",40,"Empiric",10,22.1070533333333,1.58758452458561,0.50203830757261,1.13568955347447
"191","3",40,"Gamma",10,20.3406066666667,1.2222616246982,0.386513063066421,0.874353294130779
"192","3",40,"Negexp",10,13.7835416666667,0.550393737136996,0.174049781924491,0.393727960863953
"193","3",42,"Empiric",10,20.1469233333333,1.79462402123814,0.56750994507629,1.28379668721354
"194","3",42,"Gamma",10,18.19199,1.04130750069324,0.3292903446808,0.744906511859961
"195","3",42,"Negexp",10,12.3962133333333,0.738464273766598,0.233522907576458,0.528265518051548
"196","3",44,"Empiric",10,17.7634533333333,0.89087498315136,0.281719405722243,0.637293571553825
"197","3",44,"Gamma",10,15.7899033333333,0.721422698381983,0.228133888263174,0.516074709411543
"198","3",44,"Negexp",10,11.3623766666667,0.640837690261161,0.202650671170677,0.458427667334611
"199","3",46,"Empiric",10,16.2622983333333,1.43060809259408,0.452398001166637,1.0233953787747
