"","Shape","Rate","EB","n","type","N","serverUtilization","sd","max","se","ci"
"99","0.484071",0.497797,"5",18,"Simulation",10,0.468731255555556,0.0298871930346632,0.515995,0.00945116028586554,0.0213800099374247
"100","0.484071",0.497797,"5",20,"Simulation",10,0.438338265,0.0230588187211055,0.46951045,0.00729183873116243,0.0164952852156685
"101","0.484071",0.497797,"5",22,"Simulation",10,0.388887581818182,0.0224902497728296,0.433954681818182,0.00711204144282259,0.0160885554919988
"102","0.484071",0.497797,"5",24,"Simulation",10,0.367624545833333,0.0141137362174309,0.396771708333333,0.0044631552741891,0.0100963586721875
"103","0.484071",0.497797,"5",26,"Simulation",10,0.320380807692308,0.0176817671964842,0.354163807692308,0.005591465739774,0.0126487742737705
"104","0.484071",0.497797,"5",28,"Simulation",10,0.300040510714286,0.0056285387694708,0.310609607142857,0.00177990024100891,0.00402641407926457
"105","0.484071",0.497797,"5",30,"Simulation",10,0.27230769,0.0123734192839752,0.296840966666667,0.00391281873816114,0.00885141093526226
"106","0.484071",0.497797,"5",32,"Simulation",10,0.269366021875,0.0084179469863801,0.2835046875,0.00266198856995115,0.00602183651080195
"107","0.484071",0.497797,"5",34,"Simulation",10,0.254237735294118,0.00798652154422647,0.266275941176471,0.00252555986617608,0.0057132133413459
"108","0.484071",0.497797,"5",36,"Simulation",10,0.239348491666667,0.0137101621041533,0.266899333333333,0.00433553393392512,0.00980765914318338
"109","0.484071",0.497797,"5",38,"Simulation",10,0.230370023684211,0.0154971992280604,0.254315684210526,0.00490064469140742,0.0110860284909963
"110","0.484071",0.497797,"5",40,"Simulation",10,0.205991945,0.00752678612862642,0.21766145,0.00238017876274206,0.00538433843687712
"111","0.484071",0.497797,"5",42,"Simulation",10,0.20559995952381,0.00875146320241226,0.216614428571429,0.00276745565787739,0.00626041963919376
"112","0.484071",0.497797,"5",44,"Simulation",10,0.197657945454545,0.00508989209226753,0.202218659090909,0.00160956520560453,0.00364108945884905
"113","0.484071",0.497797,"5",46,"Simulation",10,0.182831473913043,0.00419873588420239,0.188279847826087,0.00132775686875605,0.00300359471111102
"114","0.484071",0.497797,"5",48,"Simulation",10,0.17941074375,0.00432393799760167,0.186057583333333,0.0013673492533769,0.00309315890757332
"115","0.484071",0.497797,"5",50,"Simulation",10,0.169437102,0.005956882312705,0.17609502,0.00188373158617192,0.00426129690044803
"119","0.484071",0.497797,"6",12,"Simulation",10,0.836827441666667,0.0403659916799289,0.899452833333333,0.0127648473719982,0.0288760909145915
"120","0.484071",0.497797,"6",14,"Simulation",10,0.73605865,0.0320125585464494,0.784668714285714,0.0101232598736269,0.0229004048339928
"121","0.484071",0.497797,"6",16,"Simulation",10,0.65367969375,0.0303938084614766,0.7118013125,0.00961136615051641,0.0217424207816669
"122","0.484071",0.497797,"6",18,"Simulation",10,0.566200266666667,0.0212009972596666,0.606488333333333,0.00670434400075347,0.0151662798031676
"123","0.484071",0.497797,"6",20,"Simulation",10,0.521588675,0.0202901241240967,0.5553672,0.00641630062396744,0.0145146804151745
"124","0.484071",0.497797,"6",22,"Simulation",10,0.467942059090909,0.0208095542473498,0.510998636363636,0.00658055885144562,0.0148862583410128
"125","0.484071",0.497797,"6",24,"Simulation",10,0.4214060875,0.0126514956234207,0.441374458333333,0.00400075419776613,0.00905033476507164
"126","0.484071",0.497797,"6",26,"Simulation",10,0.410153234615385,0.0145289364910726,0.437491346153846,0.0045944531291724,0.010393375055298
"127","0.484071",0.497797,"6",28,"Simulation",10,0.358820875,0.0145709366324741,0.385043321428571,0.0046077347400602,0.0104234201465013
"128","0.484071",0.497797,"6",30,"Simulation",10,0.339165973333333,0.0196244386331022,0.370783633333333,0.00620579238828045,0.0140384777019872
"129","0.484071",0.497797,"6",32,"Simulation",10,0.32340559375,0.0142493207802841,0.3450415,0.00450603087760654,0.0101933500255675
"130","0.484071",0.497797,"6",34,"Simulation",10,0.306770155882353,0.00960047411087621,0.324027588235294,0.00303593648078487,0.00686776545580787
"131","0.484071",0.497797,"6",36,"Simulation",10,0.288050211111111,0.0136339935978092,0.312326638888889,0.00431144733732308,0.00975317147615265
"132","0.484071",0.497797,"6",38,"Simulation",10,0.268134918421053,0.0166270512261676,0.287044842105263,0.0052579352646985,0.011894275920567
"133","0.484071",0.497797,"6",40,"Simulation",10,0.2588333425,0.00759316502802255,0.27513465,0.00240116961380875,0.00543182304097087
"134","0.484071",0.497797,"6",42,"Simulation",10,0.244134764285714,0.0159246871275755,0.26482869047619,0.00503582823487028,0.0113918349121332
"135","0.484071",0.497797,"6",44,"Simulation",10,0.233056109090909,0.00702513682654512,0.243721681818182,0.00222154332462098,0.00502548014425789
"136","0.484071",0.497797,"6",46,"Simulation",10,0.223134491304348,0.0124295926506148,0.242702173913043,0.00393058231640324,0.00889159494101955
"137","0.484071",0.497797,"6",48,"Simulation",10,0.211820077083333,0.00902306625742944,0.232339979166667,0.00285334408520882,0.00645471276028303
"138","0.484071",0.497797,"6",50,"Simulation",10,0.212212374,0.0069158965927174,0.22477968,0.00218699852951848,0.00494733438857938
"140","0.484071",2.00885,"1",8,"Simulation",10,0.861909925,0.00966706986608834,0.873657,0.00305699590768181,0.0069154051892072
"141","0.484071",2.00885,"1",10,"Simulation",10,0.69868137,0.0129150814006167,0.7124204,0.00408410733924263,0.00923889267110444
"142","0.484071",2.00885,"1",12,"Simulation",10,0.576274583333333,0.00952122073196773,0.587265083333333,0.00301087436182336,0.00681107100388418
"143","0.484071",2.00885,"1",14,"Simulation",10,0.491053457142857,0.00726992511472408,0.501511357142857,0.0022989521781389,0.00520059113670745
"144","0.484071",2.00885,"1",16,"Simulation",10,0.4339243,0.00870881149508612,0.4497905625,0.00275396800375284,0.00622990844580657
"145","0.484071",2.00885,"1",18,"Simulation",10,0.381980194444444,0.00836970596298896,0.394482666666667,0.0026467334188938,0.005987326961568
"146","0.484071",2.00885,"1",20,"Simulation",10,0.34687083,0.00777018851305709,0.35838805,0.00245714935501374,0.00555845801350932
"147","0.484071",2.00885,"1",22,"Simulation",10,0.314827895454545,0.00763777428989157,0.327053863636364,0.00241527630103325,0.00546373458451912
"148","0.484071",2.00885,"1",24,"Simulation",10,0.2916448,0.00660714244590376,0.305429083333333,0.00208936189542317,0.00472646497740916
"149","0.484071",2.00885,"1",26,"Simulation",10,0.263873092307692,0.00483865026449021,0.271482384615385,0.00153011556367652,0.00346136188227986
"150","0.484071",2.00885,"1",28,"Simulation",10,0.244448264285714,0.00799402917246391,0.255326642857143,0.00252793398668169,0.00571858397505301
