"","Shape","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"338","1",0.497797,"3",36,"Simulation",10,6.63941,0.583388187008223,0.184483543098224,0.417330768438038
"339","1",0.497797,"3",38,"Simulation",10,6.73367166666667,0.743686290312083,0.23517425420274,0.532001123650453
"340","1",0.497797,"3",40,"Simulation",10,6.00564,0.198417376715639,0.062745083777708,0.141939240698116
"341","1",0.497797,"3",42,"Simulation",10,5.49687333333333,0.440324706801416,0.139242898353831,0.314989319879901
"342","1",0.497797,"3",44,"Simulation",10,5.41485333333333,0.490421937685258,0.155085033759858,0.350826719962664
"343","1",0.497797,"3",46,"Simulation",10,4.82905666666667,0.457784345570469,0.14476412091723,0.327479193049096
"344","1",0.497797,"3",48,"Simulation",10,4.36860166666667,0.248399478072701,0.0785508120306787,0.177694282078815
"345","1",0.497797,"3",50,"Simulation",10,4.54607333333333,0.509121178012892,0.160998252754878,0.364203350667442
"346","1",0.497797,"4",6,"Simulation",10,138.098475,15.4798335634042,4.89515318606777,11.0736058428577
"347","1",0.497797,"4",8,"Simulation",10,84.26436,10.7956758381245,3.41389245293205,7.72276126542297
"348","1",0.497797,"4",10,"Simulation",10,55.63424,7.9057438203522,2.5000157070114,5.65542843872385
"349","1",0.497797,"4",12,"Simulation",10,44.829485,4.18741403448484,1.3241765855127,2.99549554772722
"350","1",0.497797,"4",14,"Simulation",10,35.6880683333333,4.21734480583745,1.33364152647269,3.01690673171533
"351","1",0.497797,"4",16,"Simulation",10,29.0155916666667,1.63323481324659,0.516474196373896,1.16834580272766
"352","1",0.497797,"4",18,"Simulation",10,25.4834416666667,2.99922074115115,0.948436874765592,2.14551326971293
"353","1",0.497797,"4",20,"Simulation",10,21.1576366666667,1.01651510955353,0.321450302216473,0.727171103642642
"354","1",0.497797,"4",22,"Simulation",10,19.0582366666667,1.76748462334276,0.558927713908792,1.2643823315052
"355","1",0.497797,"4",24,"Simulation",10,16.9038216666667,0.986974251951606,0.312108662810796,0.706038847148812
"356","1",0.497797,"4",26,"Simulation",10,14.8109683333333,1.67291228178845,0.529021313612093,1.19672935386051
"357","1",0.497797,"4",28,"Simulation",10,12.411235,1.39573494977656,0.441370145119465,0.998448635227281
"358","1",0.497797,"4",30,"Simulation",10,12.2976233333333,1.33603710793442,0.4224920299577,0.955743371793964
"359","1",0.497797,"4",32,"Simulation",10,11.0248933333333,0.886430808514658,0.28031403430509,0.63411440053612
"360","1",0.497797,"4",34,"Simulation",10,10.3952066666667,1.01928508991279,0.322326246917393,0.729152628222042
"361","1",0.497797,"4",36,"Simulation",10,9.210345,0.793689877242777,0.250986776790662,0.567771534884629
"362","1",0.497797,"4",38,"Simulation",10,8.61404333333333,0.723945202047711,0.228931573962156,0.517879199829158
"363","1",0.497797,"4",40,"Simulation",10,8.14877,0.910881256060292,0.288045944710557,0.651605197041963
"364","1",0.497797,"4",42,"Simulation",10,7.48564333333333,0.662546646491987,0.209515645902109,0.473957319095748
"365","1",0.497797,"4",44,"Simulation",10,7.276155,0.782734026931668,0.247522232721965,0.559934191703797
"366","1",0.497797,"4",46,"Simulation",10,6.54033166666667,0.594778132897854,0.188085360241954,0.425478644888817
"367","1",0.497797,"4",48,"Simulation",10,6.209685,0.477002924613158,0.150841569233917,0.341227336290227
"368","1",0.497797,"4",50,"Simulation",10,5.64772,0.604102819553586,0.191034085071904,0.432149123884008
"369","1",0.497797,"5",6,"Simulation",10,268.16444,46.9361701137761,14.8425202204657,33.5761134307037
"370","1",0.497797,"5",8,"Simulation",10,120.918188333333,24.7152905624406,7.81566112101764,17.6802537869135
"371","1",0.497797,"5",10,"Simulation",10,83.2409766666667,7.05501817450564,2.23099263653211,5.04685597288116
"372","1",0.497797,"5",12,"Simulation",10,56.2334466666667,6.79172166025815,2.14773096803161,4.85850499309622
"373","1",0.497797,"5",14,"Simulation",10,48.7324183333333,5.22306993933059,1.65167973866421,3.73635915146792
"374","1",0.497797,"5",16,"Simulation",10,39.1793383333333,3.95759947239384,1.25150283994452,2.83109611364279
"375","1",0.497797,"5",18,"Simulation",10,31.7411633333333,2.96320642715386,0.9370481487056,2.11975018148117
"376","1",0.497797,"5",20,"Simulation",10,27.5487166666667,2.42281938672263,0.766162762125582,1.73318058021164
"377","1",0.497797,"5",22,"Simulation",10,24.0549483333333,2.33621748623512,0.738776836601604,1.67122931262772
"378","1",0.497797,"5",24,"Simulation",10,22.7192666666667,2.09220181460219,0.661612305888025,1.49667101676003
"379","1",0.497797,"5",26,"Simulation",10,19.8231916666667,1.71815588520938,0.543328597248445,1.22909467801867
