page.load.time,qoe,tdch
15.1,1.5863,8
15.2,1.581,8
15.3,1.5759,8
15.4,1.5707,8
15.5,1.5656,8
15.6,1.5606,8
15.7,1.5555,8
15.8,1.5505,8
15.9,1.5456,8
16,1.5406,8
16.1,1.5357,8
16.2,1.5308,8
16.3,1.526,8
16.4,1.5211,8
16.5,1.5163,8
16.6,1.5116,8
16.7,1.5068,8
16.8,1.5021,8
16.9,1.4974,8
17,1.4928,8
17.1,1.4881,8
17.2,1.4835,8
17.3,1.479,8
17.4,1.4744,8
17.5,1.4699,8
17.6,1.4654,8
17.7,1.4609,8
17.8,1.4565,8
17.9,1.452,8
18,1.4476,8
18.1,1.4433,8
18.2,1.4389,8
18.3,1.4346,8
18.4,1.4303,8
18.5,1.426,8
18.6,1.4217,8
18.7,1.4175,8
18.8,1.4133,8
18.9,1.4091,8
19,1.4049,8
19.1,1.4008,8
19.2,1.3966,8
19.3,1.3925,8
19.4,1.3884,8
19.5,1.3844,8
19.6,1.3803,8
19.7,1.3763,8
19.8,1.3723,8
19.9,1.3683,8
20,1.3643,8
20.1,1.3604,8
20.2,1.3565,8
20.3,1.3526,8
20.4,1.3487,8
20.5,1.3448,8
20.6,1.341,8
20.7,1.3371,8
20.8,1.3333,8
20.9,1.3295,8
21,1.3257,8
21.1,1.322,8
21.2,1.3182,8
21.3,1.3145,8
21.4,1.3108,8
21.5,1.3071,8
21.6,1.3034,8
21.7,1.2998,8
21.8,1.2961,8
21.9,1.2925,8
22,1.2889,8
22.1,1.2853,8
22.2,1.2817,8
22.3,1.2782,8
22.4,1.2746,8
22.5,1.2711,8
22.6,1.2676,8
22.7,1.2641,8
22.8,1.2606,8
22.9,1.2572,8
23,1.2537,8
23.1,1.2503,8
23.2,1.2469,8
23.3,1.2434,8
23.4,1.2401,8
23.5,1.2367,8
23.6,1.2333,8
23.7,1.23,8
23.8,1.2266,8
23.9,1.2233,8
24,1.22,8
24.1,1.2167,8
24.2,1.2134,8
24.3,1.2101,8
24.4,1.2069,8
24.5,1.2036,8
24.6,1.2004,8
24.7,1.1972,8
24.8,1.194,8
24.9,1.1908,8
25,1.1876,8
0.2,4.9882,16
0.3,4.6863,16
0.4,4.4676,16
0.5,4.2961,16
0.6,4.1549,16
0.7,4.0349,16
0.8,3.9306,16
0.9,3.8384,16
1,3.7556,16
1.1,3.6807,16
1.2,3.6122,16
1.3,3.549,16
1.4,3.4905,16
1.5,3.436,16
1.6,3.385,16
1.7,3.337,16
1.8,3.2918,16
1.9,3.2489,16
2,3.2083,16
2.1,3.1696,16
2.2,3.1327,16
2.3,3.0974,16
2.4,3.0636,16
2.5,3.0312,16
2.6,3,16
2.7,2.9701,16
2.8,2.9411,16
2.9,2.9133,16
3,2.8863,16
3.1,2.8602,16
3.2,2.835,16
3.3,2.8105,16
3.4,2.7867,16
3.5,2.7637,16
3.6,2.7412,16
3.7,2.7194,16
3.8,2.6982,16
3.9,2.6775,16
4,2.6574,16
4.1,2.6377,16
4.2,2.6185,16
4.3,2.5997,16
4.4,2.5814,16
4.5,2.5635,16
