page.load.time,qoe,tdch
7,2.0307,8
7.1,2.0217,8
7.2,2.0127,8
7.3,2.0039,8
7.4,1.9951,8
7.5,1.9865,8
7.6,1.9779,8
7.7,1.9694,8
7.8,1.961,8
7.9,1.9528,8
8,1.9445,8
8.1,1.9364,8
8.2,1.9284,8
8.3,1.9204,8
8.4,1.9125,8
8.5,1.9047,8
8.6,1.897,8
8.7,1.8893,8
8.8,1.8817,8
8.9,1.8742,8
9,1.8668,8
9.1,1.8594,8
9.2,1.8521,8
9.3,1.8448,8
9.4,1.8377,8
9.5,1.8305,8
9.6,1.8235,8
9.7,1.8165,8
9.8,1.8096,8
9.9,1.8027,8
10,1.7959,8
10.1,1.7891,8
10.2,1.7824,8
10.3,1.7758,8
10.4,1.7692,8
10.5,1.7627,8
10.6,1.7562,8
10.7,1.7498,8
10.8,1.7434,8
10.9,1.7371,8
11,1.7308,8
11.1,1.7246,8
11.2,1.7184,8
11.3,1.7122,8
11.4,1.7062,8
11.5,1.7001,8
11.6,1.6941,8
11.7,1.6882,8
11.8,1.6823,8
11.9,1.6764,8
12,1.6706,8
12.1,1.6648,8
12.2,1.6591,8
12.3,1.6534,8
12.4,1.6477,8
12.5,1.6421,8
12.6,1.6365,8
12.7,1.631,8
12.8,1.6255,8
12.9,1.62,8
13,1.6146,8
13.1,1.6092,8
13.2,1.6039,8
13.3,1.5985,8
13.4,1.5933,8
13.5,1.588,8
13.6,1.5828,8
13.7,1.5776,8
13.8,1.5725,8
13.9,1.5674,8
14,1.5623,8
14.1,1.5572,8
14.2,1.5522,8
14.3,1.5472,8
14.4,1.5423,8
14.5,1.5373,8
14.6,1.5324,8
14.7,1.5276,8
14.8,1.5227,8
14.9,1.5179,8
15,1.5132,8
15.1,1.5084,8
15.2,1.5037,8
15.3,1.499,8
15.4,1.4943,8
15.5,1.4897,8
15.6,1.4851,8
15.7,1.4805,8
15.8,1.4759,8
15.9,1.4714,8
16,1.4669,8
16.1,1.4624,8
16.2,1.4579,8
16.3,1.4535,8
16.4,1.4491,8
16.5,1.4447,8
16.6,1.4404,8
16.7,1.436,8
16.8,1.4317,8
16.9,1.4274,8
17,1.4231,8
17.1,1.4189,8
17.2,1.4147,8
17.3,1.4105,8
17.4,1.4063,8
17.5,1.4021,8
17.6,1.398,8
17.7,1.3939,8
17.8,1.3898,8
17.9,1.3857,8
18,1.3817,8
18.1,1.3776,8
18.2,1.3736,8
18.3,1.3696,8
18.4,1.3657,8
18.5,1.3617,8
18.6,1.3578,8
18.7,1.3539,8
18.8,1.35,8
18.9,1.3461,8
19,1.3422,8
19.1,1.3384,8
19.2,1.3346,8
19.3,1.3308,8
19.4,1.327,8
19.5,1.3232,8
19.6,1.3195,8
19.7,1.3158,8
19.8,1.312,8
19.9,1.3084,8
20,1.3047,8
20.1,1.301,8
20.2,1.2974,8
20.3,1.2937,8
20.4,1.2901,8
20.5,1.2865,8
20.6,1.2829,8
20.7,1.2794,8
20.8,1.2758,8
20.9,1.2723,8
21,1.2688,8
21.1,1.2653,8
21.2,1.2618,8
21.3,1.2583,8
21.4,1.2549,8
21.5,1.2514,8
21.6,1.248,8
21.7,1.2446,8
21.8,1.2412,8
21.9,1.2378,8
22,1.2344,8
22.1,1.2311,8
22.2,1.2277,8
22.3,1.2244,8
22.4,1.2211,8
22.5,1.2178,8
22.6,1.2145,8
22.7,1.2112,8
22.8,1.208,8
22.9,1.2047,8
23,1.2015,8
23.1,1.1983,8
23.2,1.1951,8
23.3,1.1919,8
23.4,1.1887,8
23.5,1.1855,8
23.6,1.1824,8
23.7,1.1792,8
23.8,1.1761,8
23.9,1.173,8
24,1.1699,8
24.1,1.1668,8
24.2,1.1637,8
24.3,1.1606,8
24.4,1.1576,8
24.5,1.1545,8
24.6,1.1515,8
24.7,1.1485,8
24.8,1.1454,8
24.9,1.1424,8
25,1.1394,8
0.2,3.276,16
0.3,3.234,16
0.4,3.194,16
0.5,3.156,16
0.6,3.1197,16
0.7,3.085,16
0.8,3.0517,16
0.9,3.0198,16
1,2.989,16
1.1,2.9595,16
1.2,2.9309,16
1.3,2.9034,16
1.4,2.8768,16
1.5,2.851,16
1.6,2.826,16
1.7,2.8018,16
1.8,2.7783,16
1.9,2.7555,16
2,2.7333,16
2.1,2.7117,16
