"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"154","Size",2,14,0.0017830358848997,88.10093731571
"155","Size",2,11,0.0023937584610337,90.089210085624
"156","Size",2,13,0.0020565354764389,136.16242412397
"157","Size",2,24,0.0075078004927497,117.61194366332
"158","Size",2,13,0.0030318708957721,306.84432744068
"159","Size",2,21,0.0084241401074346,87.374396420054
"160","Size",2,3,0.0015583519454565,436.6335890346
"161","Size",2,7,0.0014149417991035,103.74079932887
"162","Size",2,18,0.0039839780211003,117.36394984146
"163","Size",2,15,0.0043375154619378,74.495507685083
"164","Size",2,15,0.0027662387126057,152.0934606846
"165","Size",2,9,0.0030014253967673,93.285726749513
"166","Size",2,2,0.0014126327394045,249.36510105592
"167","Size",2,11,0.0018803651064108,167.21363002571
"168","Size",2,12,0.0033379611582789,71.065718457296
"169","Size",2,4,0.0013842613266805,402.53165814257
"170","Size",2,3,0.00074025886927676,238.20925434206
"171","Size",2,16,0.0030371047142828,100.18988935844
"172","Size",2,29,0.0081115172948606,62.995392132622
"173","Size",2,27,0.0072853221088651,79.364283609509
"174","Size",2,4,0.0015684486817675,178.67728950531
"175","Size",2,11,0.0089816605732498,88.872403484703
"176","Size",2,27,0.0064535904240362,68.984610126596
"177","Size",2,7,0.0018564025851421,192.5533928037
"178","Size",2,19,0.0033457596773809,79.123956872658
"179","Size",2,10,0.00089303736606421,194.87807963683
"180","Size",2,10,0.0025260971258582,63.30434531433
"181","Size",2,7,0.001704527633994,124.78058792294
"182","Size",2,19,0.0068981252576859,135.90872804562
"183","Size",2,9,0.0027974063295458,138.34300735303
"184","Size",2,10,0.0028663482414669,91.123463592515
"185","Size",2,9,0.0043238841657485,113.45822554674
"186","Size",2,9,0.0043246912200707,98.215315221836
"187","Size",2,18,0.0057995941253141,120.67494884176
"188","Size",2,13,0.0052780418659753,62.966891626362
"189","Size",2,20,0.0049545592513426,99.645312376746
"190","Size",2,17,0.0058360223437103,95.944540935381
"191","Size",2,15,0.0046824860044475,56.307110771156
"192","Size",2,11,0.0054240165642298,143.81895956822
"193","Size",2,9,0.0044164457314097,125.01155050105
"194","Size",2,11,0.0025607141345352,67.54532651397
"195","Size",2,18,0.0040254976575243,103.69681995578
"196","Size",2,9,0.0066973151283404,100.85550882446
"197","Size",2,17,0.012821495603044,60.483543804479
"198","Size",2,10,0.0025479314179988,104.06416089813
"199","Size",2,7,0.0025759028881715,138.40383044346
"200","Size",2,14,0.002554899267181,188.49781554786
"201","Intervall",2,7,0.0032727916681737,77.757351907155
