"","Type","variable","value"
"42913","Measurement","Upload",15158026.7411716
"42914","Measurement","Upload",6686605.03797446
"42915","Measurement","Upload",5165830.00635298
"42916","Measurement","Upload",780949.643608863
"42917","Measurement","Upload",13775704.8487909
"42918","Measurement","Upload",13600527.1960825
"42919","Measurement","Upload",13177717.2972946
"42920","Measurement","Upload",6884036.55271115
"42921","Measurement","Upload",13092501.9497076
"42922","Measurement","Upload",16469859.029736
"42923","Measurement","Upload",10700672.2334367
"42924","Measurement","Upload",14278112.0240576
"42925","Measurement","Upload",16456720.8528929
"42926","Measurement","Upload",13562898.4671558
"42927","Measurement","Upload",11861590.6475772
"42928","Measurement","Upload",10534087.6521888
"42929","Measurement","Upload",10068856.3780946
"42930","Measurement","Upload",538385.966222609
"42931","Measurement","Upload",17013747.5510511
"42932","Measurement","Upload",12402011.7274444
"42933","Measurement","Upload",15569881.1343625
"42934","Measurement","Upload",8610086.9461367
"42935","Measurement","Upload",887407.81995739
"42936","Measurement","Upload",14838752.4061295
"42937","Measurement","Upload",12838180.2833893
"42938","Measurement","Upload",14735676.6076003
"42939","Measurement","Upload",14747769.69329
"42940","Measurement","Upload",669557.405195702
"42941","Measurement","Upload",862707.890568495
"42942","Measurement","Upload",1250680.49603915
"42943","Measurement","Upload",14326345.223984
"42944","Measurement","Upload",11565296.6042296
"42945","Measurement","Upload",11689730.6678628
"42946","Measurement","Upload",6146418.11661199
"42947","Measurement","Upload",12766913.7552759
"42948","Measurement","Upload",11955803.5779946
"42949","Measurement","Upload",15622340.8695465
"42950","Measurement","Upload",15456751.5750296
"42951","Measurement","Upload",7403743.53269977
"42952","Measurement","Upload",15295983.5811769
"42953","Measurement","Upload",15548337.6278174
"42954","Measurement","Upload",11971535.2704981
"42955","Measurement","Upload",15307865.9248185
"42956","Measurement","Upload",8940367.30556482
"42957","Measurement","Upload",6212191.02561388
"42958","Measurement","Upload",16082044.2925422
"42959","Measurement","Upload",12787309.21277
"42960","Measurement","Upload",14501716.5330317
"42961","Measurement","Upload",13025082.7511331
