"","type","variable","image.size"
"499","Measurement","size",3745268
"500","Measurement","size",3425399
"501","Measurement","size",3649254
"502","Measurement","size",2606540
"503","Measurement","size",3712619
"504","Measurement","size",3243922
"505","Measurement","size",3186492
"506","Measurement","size",3320770
"507","Measurement","size",3858851
"508","Measurement","size",2770842
"509","Measurement","size",3048219
"510","Measurement","size",3218613
"511","Measurement","size",3245099
"512","Measurement","size",3234024
"513","Measurement","size",3299794
"514","Measurement","size",3302773
"515","Measurement","size",3307278
"516","Measurement","size",3413099
"517","Measurement","size",3628621
"518","Measurement","size",3571593
"519","Measurement","size",2778012
"520","Measurement","size",2534267
"521","Measurement","size",2592437
"522","Measurement","size",2403564
"523","Measurement","size",2410320
"524","Measurement","size",2396098
"525","Measurement","size",2428549
"526","Measurement","size",2382460
"527","Measurement","size",3460418
"528","Measurement","size",4088459
"529","Measurement","size",4455394
"530","Measurement","size",3368094
"531","Measurement","size",3190115
"532","Measurement","size",3403002
"533","Measurement","size",3359326
"534","Measurement","size",3344583
"535","Measurement","size",3243733
"536","Measurement","size",3401098
"537","Measurement","size",3348364
"538","Measurement","size",3150123
"539","Measurement","size",3772020
"540","Measurement","size",4292190
"541","Measurement","size",3912864
"542","Measurement","size",3514945
"543","Measurement","size",3679180
"544","Measurement","size",3244277
"545","Measurement","size",3276432
"546","Measurement","size",3422442
"547","Measurement","size",5686134
"548","Measurement","size",5712365
"549","Measurement","size",3946975
"550","Measurement","size",4007279
"551","Measurement","size",3085441
"552","Measurement","size",3927603
"553","Measurement","size",3250627
"554","Measurement","size",3507661
"555","Measurement","size",3752960
"556","Measurement","size",3731942
"557","Measurement","size",3841027
"558","Measurement","size",4037283
"559","Measurement","size",3610576
"560","Measurement","size",3847131
"561","Measurement","size",3826539
"562","Measurement","size",3896150
"563","Measurement","size",4073755
"564","Measurement","size",3574381
"565","Measurement","size",3582464
"566","Measurement","size",3076928
"567","Measurement","size",2838785
"568","Measurement","size",3920341
"569","Measurement","size",4046316
"570","Measurement","size",3847322
"571","Measurement","size",3931659
"572","Measurement","size",5039976
"573","Measurement","size",5191972
"574","Measurement","size",4673035
"575","Measurement","size",5342915
"576","Measurement","size",3422502
"577","Measurement","size",3243692
"578","Measurement","size",2944341
"579","Measurement","size",2775053
"580","Measurement","size",2819288
"581","Measurement","size",2894532
"582","Measurement","size",2789729
"583","Measurement","size",2967085
"584","Measurement","size",3503346
"585","Measurement","size",3050292
"586","Measurement","size",1111046
"587","Measurement","size",1081495
"588","Measurement","size",870215
"589","Measurement","size",919839
"590","Measurement","size",936695
"591","Measurement","size",928517
"592","Measurement","size",1560246
"593","Measurement","size",777835
"594","Measurement","size",718481
"595","Measurement","size",964784
"596","Measurement","size",1081200
"597","Measurement","size",788848
"598","Measurement","size",852334
"599","Measurement","size",453208
"600","Measurement","size",509091
"601","Measurement","size",593076
"602","Measurement","size",640626
"603","Measurement","size",82039
"604","Measurement","size",891381
"605","Measurement","size",820065
"606","Measurement","size",710366
"607","Measurement","size",787254
"608","Measurement","size",898608
"609","Measurement","size",941002
"610","Measurement","size",977239
"611","Measurement","size",991434
"612","Measurement","size",1083728
"613","Measurement","size",965704
"614","Measurement","size",1382410
"615","Measurement","size",366908
"616","Measurement","size",398348
"617","Measurement","size",725139
"618","Measurement","size",808155
"619","Measurement","size",778331
"620","Measurement","size",337526
"621","Measurement","size",435627
"622","Measurement","size",96233
"623","Measurement","size",925653
"624","Measurement","size",948221
"625","Measurement","size",878667
"626","Measurement","size",734345
"627","Measurement","size",977914
"628","Measurement","size",620289
"629","Measurement","size",650428
"630","Measurement","size",866278
"631","Measurement","size",770703
"632","Measurement","size",724243
"633","Measurement","size",722972
"634","Measurement","size",933883
"635","Measurement","size",893041
"636","Measurement","size",1023816
"637","Measurement","size",90879
"638","Measurement","size",1143176
"639","Measurement","size",370643
"640","Measurement","size",1338916
"641","Measurement","size",1349888
"642","Measurement","size",1163975
"643","Measurement","size",907425
"644","Measurement","size",94436
"645","Measurement","size",1579652
"646","Measurement","size",455185
"647","Measurement","size",1076912
"648","Measurement","size",1042681
"649","Measurement","size",1040388
"650","Measurement","size",1039196
"651","Measurement","size",1316580
"652","Measurement","size",1495640
"653","Measurement","size",1276449
"654","Measurement","size",1997944
"655","Measurement","size",1557322
"656","Measurement","size",3239560
"657","Measurement","size",1685334
"658","Measurement","size",1140329
"659","Measurement","size",1506475
"660","Measurement","size",1403739
"661","Measurement","size",1463616
"662","Measurement","size",1267466
"663","Measurement","size",1484645
"664","Measurement","size",1412987
"665","Measurement","size",1606146
"666","Measurement","size",3195515
"667","Measurement","size",3174039
"668","Measurement","size",2436988
"669","Measurement","size",2022483
"670","Measurement","size",1745989
"671","Measurement","size",1765858
"672","Measurement","size",2204118
"673","Measurement","size",2267132
"674","Measurement","size",2025986
"675","Measurement","size",2956803
"676","Measurement","size",1574165
"677","Measurement","size",1924514
"678","Measurement","size",1520349
"679","Measurement","size",1572552
"680","Measurement","size",1502180
"681","Measurement","size",1412223
"682","Measurement","size",8408485
"683","Measurement","size",5703612
"684","Measurement","size",1717878
"685","Measurement","size",9730334
"686","Measurement","size",6027725
"687","Measurement","size",2879398
"688","Measurement","size",21582653
"689","Measurement","size",1924203
"690","Measurement","size",1829566
"691","Measurement","size",2034904
"692","Measurement","size",1383066
"693","Measurement","size",1559918
"694","Measurement","size",1648879
"695","Measurement","size",2545271
"696","Measurement","size",2441953
"697","Measurement","size",3177774
"698","Measurement","size",1972592
"699","Measurement","size",2098897
"700","Measurement","size",1864262
"701","Measurement","size",1895877
"702","Measurement","size",1664189
"703","Measurement","size",1644482
"704","Measurement","size",2179027
"705","Measurement","size",2880419
"706","Measurement","size",2356741
"707","Measurement","size",21982393
"708","Measurement","size",1639305
"709","Measurement","size",2237831
"710","Measurement","size",2293108
"711","Measurement","size",2425724
"712","Measurement","size",1408542
"713","Measurement","size",2888805
"714","Measurement","size",2913588
"715","Measurement","size",3236480
"716","Measurement","size",2351473
"717","Measurement","size",2530439
"718","Measurement","size",2077463
"719","Measurement","size",8535227
"720","Measurement","size",2202762
"721","Measurement","size",2088741
"722","Measurement","size",2467334
"723","Measurement","size",2232025
"724","Measurement","size",2325262
"725","Measurement","size",2318300
"726","Measurement","size",1997946
"727","Measurement","size",983546
"728","Measurement","size",1039432
"729","Measurement","size",1462294
"730","Measurement","size",1478137
"731","Measurement","size",1215187
"732","Measurement","size",2236287
"733","Measurement","size",2418395
"734","Measurement","size",3192738
"735","Measurement","size",1892277
"736","Measurement","size",1390035
"737","Measurement","size",1187269
"738","Measurement","size",1305754
"739","Measurement","size",1409556
"740","Measurement","size",1609786
"741","Measurement","size",1792687
"742","Measurement","size",1883813
"743","Measurement","size",1526995
"744","Measurement","size",1811728
"745","Measurement","size",1695531
"746","Measurement","size",1679210
"747","Measurement","size",1554138
"748","Measurement","size",1606261
"749","Measurement","size",1897759
"750","Measurement","size",1612625
"751","Measurement","size",1705372
"752","Measurement","size",1477814
"753","Measurement","size",542413
"754","Measurement","size",11520635
"755","Measurement","size",2137948
"756","Measurement","size",2425753
"757","Measurement","size",2334708
"758","Measurement","size",1725722
"759","Measurement","size",1838816
"760","Measurement","size",2241584
"761","Measurement","size",2189564
"762","Measurement","size",2267105
"763","Measurement","size",2198743
"764","Measurement","size",2454175
"765","Measurement","size",2242100
"766","Measurement","size",1862686
"767","Measurement","size",1836995
"768","Measurement","size",1841830
"769","Measurement","size",2521029
"770","Measurement","size",2355259
"771","Measurement","size",2358538
"772","Measurement","size",2319087
"773","Measurement","size",2408050
"774","Measurement","size",2377113
"775","Measurement","size",2382907
"776","Measurement","size",2353720
"777","Measurement","size",2570158
"778","Measurement","size",2364536
"779","Measurement","size",2448691
"780","Measurement","size",2347016
"781","Measurement","size",2418751
"782","Measurement","size",2350785
"783","Measurement","size",2424831
"784","Measurement","size",2480485
"785","Measurement","size",2376779
"786","Measurement","size",2388283
"787","Measurement","size",2404666
"788","Measurement","size",2536757
"789","Measurement","size",2461281
"790","Measurement","size",2477898
"791","Measurement","size",2446184
"792","Measurement","size",2496528
"793","Measurement","size",2752676
"794","Measurement","size",2420542
"795","Measurement","size",2759784
"796","Measurement","size",2840296
"797","Measurement","size",2475502
"798","Measurement","size",2397292
"799","Measurement","size",2227239
"800","Measurement","size",2352651
"801","Measurement","size",2660344
"802","Measurement","size",2509439
"803","Measurement","size",2499625
"804","Measurement","size",2364377
"805","Measurement","size",2344671
"806","Measurement","size",1860987
"807","Measurement","size",2226803
"808","Measurement","size",3222159
"809","Measurement","size",3119140
"810","Measurement","size",2029901
"811","Measurement","size",885684
"812","Measurement","size",1949862
"813","Measurement","size",1111437
"814","Measurement","size",1504943
"815","Measurement","size",1623461
"816","Measurement","size",1448795
"817","Measurement","size",1591008
"818","Measurement","size",1433638
"819","Measurement","size",1379823
"820","Measurement","size",1413140
"821","Measurement","size",1474146
"822","Measurement","size",1333267
"823","Measurement","size",1201536
"824","Measurement","size",3127973
"825","Measurement","size",3013598
"826","Measurement","size",1224588
"827","Measurement","size",1660274
"828","Measurement","size",2122070
"829","Measurement","size",2424678
"830","Measurement","size",2597275
"831","Measurement","size",1859706
"832","Measurement","size",1440276
"833","Measurement","size",853179
"834","Measurement","size",1348742
"835","Measurement","size",1185572
"836","Measurement","size",1109579
"837","Measurement","size",1234493
"838","Measurement","size",1233827
"839","Measurement","size",3486909
"840","Measurement","size",3524822
"841","Measurement","size",3396131
"842","Measurement","size",3497959
"843","Measurement","size",3093944
"844","Measurement","size",3390216
"845","Measurement","size",3260763
"846","Measurement","size",3181672
"847","Measurement","size",2971554
"848","Measurement","size",3940027
"849","Measurement","size",3536293
"850","Measurement","size",3086026
"851","Measurement","size",3485382
"852","Measurement","size",3487972
"853","Measurement","size",3435513
"854","Measurement","size",3420331
"855","Measurement","size",3487924
"856","Measurement","size",3398625
"857","Measurement","size",3289516
"858","Measurement","size",3332115
"859","Measurement","size",3325273
"860","Measurement","size",3310840
"861","Measurement","size",2984534
"862","Measurement","size",3035336
"863","Measurement","size",3042278
"864","Measurement","size",3169530
"865","Measurement","size",3260007
"866","Measurement","size",3110401
"867","Measurement","size",3527942
"868","Measurement","size",3127452
"869","Measurement","size",3085335
"870","Measurement","size",3306954
"871","Measurement","size",3074396
"872","Measurement","size",3018990
"873","Measurement","size",3065982
"874","Measurement","size",3085397
"875","Measurement","size",3199596
"876","Measurement","size",3172133
"877","Measurement","size",3210414
"878","Measurement","size",3170850
"879","Measurement","size",3137256
"880","Measurement","size",3293810
"881","Measurement","size",3240733
"882","Measurement","size",3212346
"883","Measurement","size",3328639
"884","Measurement","size",3189171
"885","Measurement","size",2868133
"886","Measurement","size",2831086
"887","Measurement","size",3046252
"888","Measurement","size",3216439
"889","Measurement","size",2999893
"890","Measurement","size",3091934
"891","Measurement","size",3470488
"892","Measurement","size",4457397
"893","Measurement","size",3092901
"894","Measurement","size",2846369
"895","Measurement","size",3159026
"896","Measurement","size",3222983
"897","Measurement","size",3102641
"898","Measurement","size",3171050
"899","Measurement","size",3170280
"900","Measurement","size",3229758
"901","Measurement","size",3215085
"902","Measurement","size",3314914
"903","Measurement","size",3250018
"904","Measurement","size",3399648
"905","Measurement","size",3188456
"906","Measurement","size",3229258
"907","Measurement","size",3294200
"908","Measurement","size",3007666
"909","Measurement","size",2811969
"910","Measurement","size",2854068
"911","Measurement","size",3825710
"912","Measurement","size",3264027
"913","Measurement","size",4165258
"914","Measurement","size",3896177
"915","Measurement","size",4034499
"916","Measurement","size",3887868
"917","Measurement","size",3994183
"918","Measurement","size",3575205
"919","Measurement","size",3626060
"920","Measurement","size",3599686
"921","Measurement","size",3475332
"922","Measurement","size",3325131
"923","Measurement","size",3334425
"924","Measurement","size",3441839
"925","Measurement","size",3601865
"926","Measurement","size",3482807
"927","Measurement","size",3199129
"928","Measurement","size",3548502
"929","Measurement","size",3176239
"930","Measurement","size",3810827
"931","Measurement","size",3482093
"932","Measurement","size",3216413
"933","Measurement","size",2710374
"934","Measurement","size",2776077
"935","Measurement","size",2797762
"936","Measurement","size",2782514
